gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService    ,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract      ,PaperlessBilling,PaymentMethod            ,MonthlyCharges,TotalCharges,PaymentMethod**3,log(TotalCharges),InternetService**3,1/TotalCharges,OnlineSecurity**3,TechSupport**3,Churn
0,0,0,1,62,1,1,0,2,2,1,1,1,1,1,0,0,56.15,3487.95,0,8.15706945,0,0.000286701,8,1,0
0,1,1,0,33,0,0,0,1,2,2,2,2,1,0,1,2,50,1750.85,8,7.467856663,0,0.000571151,1,8,0
0,0,1,0,45,1,1,0,2,2,2,1,2,2,1,0,0,78.8,3597.5,0,8.187994439,0,0.000277971,8,1,0
1,0,1,0,49,1,1,2,0,0,0,0,0,0,1,0,1,19,918.7,1,6.822959627,8,0.001088495,0,0,0
1,0,0,0,24,1,1,0,2,1,1,2,1,1,0,0,1,56.35,1381.2,1,7.230707966,0,0.000724008,8,8,0
1,0,0,0,4,1,1,1,1,2,2,2,2,2,1,1,2,105.65,443.9,8,6.095599312,1,0.00225276,1,8,1
0,0,1,0,70,1,2,0,2,1,2,2,1,2,2,1,1,74.8,5315.8,1,8.578438797,0,0.000188118,8,8,0
1,1,1,0,72,1,2,1,2,2,2,2,1,1,2,1,0,96.6,6827.5,0,8.828713853,1,0.000146466,8,8,0
1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,20.35,20.35,27,3.013080912,8,0.049140049,0,0,0
0,0,0,0,3,1,1,1,1,1,1,1,2,2,0,1,2,92,266.8,8,5.586499314,1,0.003748126,1,1,0
1,0,0,0,50,1,1,2,0,0,0,0,0,0,1,1,3,19.35,1033,27,6.940222469,8,0.000968054,0,0,0
0,0,1,1,58,1,1,0,1,2,1,2,2,2,1,1,1,75.2,4300.8,1,8.366556331,0,0.000232515,1,8,0
1,0,1,1,35,1,2,2,0,0,0,0,0,0,2,1,1,25.4,949.8,1,6.856251436,8,0.001052853,0,0,0
0,0,1,0,4,1,2,0,1,1,2,1,2,1,0,0,2,65.6,250.1,8,5.521860838,0,0.003998401,1,1,0
1,0,1,1,0,1,2,0,1,2,2,2,2,1,2,0,3,73.35,1760.4,27,7.473296335,0,0.000568053,1,8,0
1,0,0,0,7,1,2,1,1,1,1,1,1,1,0,1,2,74.9,541.15,8,6.293696505,1,0.001847916,1,1,1
0,0,0,0,59,1,1,2,0,0,0,0,0,0,2,0,3,19.35,1099.6,27,7.002701756,8,0.000909422,0,0,1
1,1,0,0,3,0,0,0,1,1,1,1,1,1,0,0,2,25.3,77.75,8,4.353498551,0,0.012861736,1,1,1
0,0,1,1,45,1,2,0,2,2,1,2,2,1,2,0,1,73.85,3371,1,8.122964715,0,0.000296648,8,8,0
0,0,0,1,6,1,1,2,0,0,0,0,0,0,0,0,3,19.7,111.65,27,4.715368978,8,0.008956561,0,0,0
0,0,0,0,32,1,1,2,0,0,0,0,0,0,1,0,1,20.35,707.5,1,6.56173763,8,0.001413428,0,0,0
1,0,1,0,70,1,1,2,0,0,0,0,0,0,2,0,0,19.8,1397.65,0,7.242547534,8,0.000715487,0,0,0
0,1,1,0,45,1,2,2,0,0,0,0,0,0,1,0,1,24.7,1174.35,1,7.068470082,8,0.000851535,0,0,0
0,1,0,0,6,1,1,0,1,1,1,1,1,1,0,0,1,44.7,276.5,1,5.622210821,0,0.003616637,1,1,0
0,0,0,0,57,1,1,0,1,2,1,2,1,1,1,1,3,54.65,3134.7,27,8.050288755,0,0.00031901,1,8,0
0,0,1,0,72,1,2,1,2,2,2,1,2,1,2,1,1,97.95,7114.25,1,8.869855094,1,0.000140563,8,1,0
1,0,1,0,54,1,2,1,2,2,2,2,2,2,1,1,3,114.65,6049.5,27,8.707730903,1,0.000165303,8,8,0
0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,70.05,70.05,8,4.249209273,1,0.014275517,1,1,0
1,0,1,1,40,1,1,2,0,0,0,0,0,0,2,0,0,20.15,777.35,0,6.655890699,8,0.001286422,0,0,0
0,0,0,0,43,1,1,1,2,2,2,2,1,1,1,1,1,90.65,3882.3,1,8.26418304,1,0.000257579,8,8,0
1,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,3,19.95,58,27,4.060443011,8,0.017241379,0,0,0
0,0,0,0,27,1,1,0,2,1,2,2,2,2,1,0,2,81.7,2212.55,8,7.701900975,0,0.000451967,8,8,0
0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,20.15,20.15,27,3.003204288,8,0.049627792,0,0,1
1,0,1,0,9,1,1,1,1,1,1,1,2,2,0,0,2,89.45,853.1,8,6.748876774,1,0.001172196,1,1,1
0,0,1,1,11,1,2,1,1,1,1,1,1,1,0,1,2,74.35,834.2,8,6.726473182,1,0.001198753,1,1,1
0,0,0,0,9,1,1,1,1,1,1,1,1,1,0,1,2,70.5,597.9,8,6.393423516,1,0.00167252,1,1,0
0,0,0,0,63,1,1,0,2,2,2,2,2,2,2,1,0,86.7,5309.5,0,8.577252948,0,0.000188342,8,8,0
1,0,0,0,3,1,2,0,1,1,1,2,2,1,0,0,2,64.6,174.2,8,5.160204064,0,0.005740528,1,8,0
0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,1,2,89.1,89.1,8,4.489759334,1,0.011223345,1,1,1
0,0,1,1,11,1,1,2,0,0,0,0,0,0,0,0,0,20.95,267.35,0,5.588558661,8,0.003740415,0,0,0
0,1,1,1,43,1,2,1,1,2,2,2,2,2,0,1,0,110.75,4687.9,0,8.45274,1,0.000213315,1,8,1
1,0,1,1,58,1,2,0,2,1,2,2,2,1,2,0,3,75.8,4415.75,27,8.392932974,0,0.000226462,8,8,0
0,0,1,1,56,1,1,1,1,2,2,2,1,1,1,1,3,85.85,4793.8,27,8.475078695,1,0.000208603,1,8,0
0,0,1,0,50,1,2,1,1,1,1,2,2,2,1,0,2,99.4,5059.75,8,8.529072354,1,0.000197638,1,8,0
1,0,0,0,29,0,0,0,1,2,1,1,1,1,0,1,2,30.6,856.35,8,6.752679171,0,0.001167747,1,1,1
0,0,0,0,9,1,2,1,1,1,1,1,1,1,0,1,2,75.85,724.65,8,6.58568878,1,0.001379977,1,1,0
0,0,1,1,22,1,1,1,2,1,1,1,1,1,0,0,0,75,1573.95,0,7.361343662,1,0.000635344,8,1,0
1,0,0,1,23,1,1,0,1,1,1,2,1,1,1,1,2,49.45,1119.35,8,7.020503439,0,0.000893376,1,8,0
1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,3,25.15,25.15,27,3.224857897,0,0.039761431,1,1,0
0,0,0,0,53,1,2,0,1,2,2,2,1,2,2,1,0,73.9,3958.25,0,8.283557287,0,0.000252637,1,8,0
1,0,0,0,12,1,1,0,1,1,1,1,1,1,0,1,2,45.05,523.1,8,6.25977265,0,0.00191168,1,1,0
1,0,0,0,29,1,2,1,1,1,1,1,1,1,0,1,2,74.2,1993.25,8,7.597521751,1,0.000501693,1,1,0
0,0,1,1,47,0,0,0,2,1,2,2,1,1,1,0,2,40.3,1794.8,8,7.492648874,0,0.000557165,8,8,0
0,0,0,0,29,1,1,1,1,1,2,2,2,2,0,1,1,98.8,2807.1,1,7.939907201,1,0.00035624,1,8,0
0,0,1,1,7,1,1,0,1,1,2,1,1,1,0,0,2,48.7,340.25,8,5.829680642,0,0.002939015,1,1,1
1,0,0,0,36,1,2,1,1,2,2,1,2,2,1,1,0,104.8,3886.45,0,8.265251424,1,0.000257304,1,1,0
0,0,0,0,69,1,1,2,0,0,0,0,0,0,2,0,1,19.95,1399.35,1,7.243763122,8,0.000714618,0,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,68.5,68.5,8,4.226833745,1,0.01459854,1,1,1
0,0,1,1,10,1,1,2,0,0,0,0,0,0,1,0,3,20.45,242.4,27,5.490589254,8,0.004125413,0,0,0
1,0,0,0,24,1,2,2,0,0,0,0,0,0,2,0,1,25.15,553,1,6.315358002,8,0.001808318,0,0,0
0,1,1,0,23,1,2,1,1,1,1,1,1,2,0,0,2,86.8,1975.85,8,7.588753964,1,0.000506111,1,1,0
1,0,1,1,49,1,2,1,1,2,2,2,2,2,2,1,0,107.95,5293.2,0,8.574178257,1,0.000188922,1,8,1
1,0,1,1,48,1,1,2,0,0,0,0,0,0,2,0,0,20.2,1027.25,0,6.934640608,8,0.000973473,0,0,0
1,0,0,0,54,1,1,2,0,0,0,0,0,0,2,0,3,20.1,1079.45,27,6.984206931,8,0.000926398,0,0,0
1,0,1,1,41,1,1,2,0,0,0,0,0,0,2,0,0,19.7,804.25,0,6.689910166,8,0.001243394,0,0,0
1,0,0,0,45,1,2,1,1,2,1,1,2,1,0,1,1,89.3,4016.85,1,8.298253292,1,0.000248951,1,1,1
