gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService    ,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract      ,PaperlessBilling,PaymentMethod            ,MonthlyCharges,TotalCharges,PaymentMethod**3,log(TotalCharges),InternetService**3,1/TotalCharges,OnlineSecurity**3,TechSupport**3,Churn,sample weights
1.0,0.0,0.0,1.0,62.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,56.15,3487.95,0.0,8.157069450063739,0.0,0.0002867013575309279,8.0,1.0,0.0,0.9986222617178715
1.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1750.85,8.0,7.467856663282273,0.0,0.0005711511551532113,1.0,8.0,0.0,0.9986222617178715
1.0,0.0,1.0,0.0,45.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,78.8,3597.5,0.0,8.187994438761523,0.0,0.0002779708130646282,8.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,0.0,49.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,918.7,1.0,6.822959627277421,8.0,0.0010884946119516707,0.0,0.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,56.35,1381.2,1.0,7.230707965515838,0.0,0.0007240081088908196,8.0,8.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,105.65,443.9,8.0,6.095599311839989,1.0,0.0022527596305474207,1.0,8.0,1.0,0.9959687594831579
1.0,0.0,1.0,0.0,70.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,74.8,5315.8,1.0,8.578438796853016,0.0,0.000188118439369427,8.0,8.0,0.0,0.9986222617178715
0.0,1.0,1.0,0.0,72.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,96.6,6827.5,0.0,8.82871385334786,1.0,0.00014646649578908824,8.0,8.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.35,20.35,27.0,3.013080911888604,8.0,0.04914004914004914,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,92.0,266.8,8.0,5.586499314041468,1.0,0.0037481259370314842,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,19.35,1033.0,27.0,6.940222469119639,8.0,0.000968054211035818,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,58.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,75.2,4300.8,1.0,8.366556330888775,0.0,0.00023251488095238094,1.0,8.0,0.0,0.9986222617178715
0.0,0.0,1.0,1.0,35.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,25.4,949.8,1.0,6.856251436115022,8.0,0.0010528532322594231,0.0,0.0,0.0,1.0014364970416356
