state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
15.0,1.6539734998736748,1.0,0.0,0.0,0.0,0.05293746256113729,1.548277400258122,0.05244723267512899,-0.4167470446002348,-1.393297320112249,-0.41726355373424406,1.8093028716013162,-0.00839404677737703,1.810947985205651,-0.1271667530920971,5.0,-0.13182195554766854,2.0,0.0
17.0,0.8319675365671676,2.0,0.0,0.0,0.0,-0.6637185013558954,0.7454366262734416,-0.6634578630515889,0.9778240309485786,-1.6465708118625626,0.9770714112983651,0.19709698375218027,-0.9409326720926702,0.19572238191456298,1.2053364386611103,3.0,1.202179182184227,1.0,0.0
23.0,-0.5380424022770112,1.0,0.0,0.0,0.0,-1.3657114276480273,0.494548884403229,-1.3653467445547418,-3.089345720545764,-0.6334768448613077,-3.0897389033800784,-0.23467314346048782,-0.6818941650606443,-0.23559126692065963,1.0252684397755416,5.0,1.0287590342790807,0.0,0.0
6.0,-0.06476624158538573,0.0,0.0,0.0,0.0,-1.5563309167717392,0.24366114253301638,-1.5561828920602072,0.13634063408767969,0.025034233689507877,0.13582264906202401,-1.2962730892677812,0.872336877131511,-1.2962707502807471,-1.6757515435079873,5.0,-1.679263275316667,1.0,0.0
49.0,-1.0860463778146827,0.0,0.0,1.0,32.0,0.5789739373544583,-3.017879501779748,0.5785943512212713,1.4637510629386743,-1.2413332250620606,1.4627647574513905,0.17927161152780396,2.0121063080724246,0.1781177431865951,-1.7477787430622145,4.0,-1.745963332203262,1.0,0.0
43.0,-0.6625887603537547,1.0,1.0,0.0,0.0,0.771426306181283,-1.111132663566132,0.771586839376516,2.5027657736166855,0.5315812171901353,2.503868198009072,0.12975668868231452,0.19883675884824367,0.12970498668468183,-0.5593299504174621,9.0,-0.5587023196218749,1.0,1.0
44.0,-1.3600483655835185,0.0,0.0,1.0,30.0,-1.2374098484301441,2.5016508193649303,-1.237044475892875,0.8612805557964822,-0.17758455971074308,0.860876830878981,-0.45055820706682187,0.6132983700994851,-0.45124809133827093,1.0612820395526552,6.0,1.0554390570337184,2.0,0.0
47.0,0.7074211784904241,2.0,0.0,0.0,0.0,-1.0266286825721933,-1.5125530505584721,-1.026801262539396,1.390664476826343,-0.0762751630106176,1.3907241175913727,0.7536447165354814,-0.8891249706862651,0.7546696615275551,-2.432037138827375,6.0,-2.4263039124465284,0.0,0.0
46.0,0.43341919072158835,2.0,0.0,0.0,0.0,0.18490480118524594,-1.311842857062302,0.1850621826365538,0.3022669376940541,0.6328906138902608,0.30314284486593684,-0.7971626669852478,0.56149066869308,-0.7989397062156437,-0.09115315331498353,1.0,-0.09180192141571135,2.0,0.0
47.0,-0.4882238590463137,2.0,0.0,0.0,0.0,1.5558988191134824,1.0966794648917393,1.5554166655712804,-0.4266236102910904,0.07568893203957061,-0.42655912016779496,-0.5297820836196049,-0.5264710608414288,-0.5304689656141276,0.16094204512481225,9.0,0.1616582947533487,2.0,0.0
17.0,0.10959865972205521,2.0,0.0,1.0,3.0,-1.6827996162865098,-0.007226599337196282,-1.6823288200722943,2.459308884576921,0.4302718204900098,2.459714257449706,-2.4073879579205637,-0.7337018664670495,-2.405362990142748,-0.7393979493030307,4.0,-0.7454624789043404,3.0,0.0
17.0,-0.712407303584452,2.0,0.0,0.0,0.0,0.9968705096641345,0.09312849741088877,0.9969244372784494,-0.09082037680199949,0.48092651884007254,-0.09191872855996891,1.0289476875564028,-1.5108173875631272,1.0275415618110637,-0.667370749748803,8.0,-0.6654224106404266,2.0,0.0
11.0,0.0846893881067065,1.0,0.0,0.0,0.0,0.5643108997295573,-0.057404147711238813,0.5645781369977058,-0.46612987305451287,-1.747880208562688,-0.46606527751038557,0.39713727204795746,-0.21562485240299772,0.3981757272861984,1.601486036209361,7.0,1.6023795235037959,4.0,0.0
